KEY,English,Spanish

GLYPH_TEST, "∂ ∏ ∑ ≥ μ π"
INSTRUCTION_GOBLIN_ARCHER,"Goblin archers spend ± in the following order: \n±: Range (when necessary) \n±: +X ≥"

EFFECT_GOBLIN_ARCHER_1,"Each time a Goblin Archer resolves an attack, it performs a move action and retreats. Then its activation immediately ends."
GOBLIN_ARCHER_1_MINION_0,"∞ Attack a hero within 3 spaces.
∞ Spot the closest hero."
GOBLIN_ARCHER_1_MASTER_0,"∞ Spot the hero within 5 spaces of this monster with the least Health remaining.
∞ Attack the hero within 3 spaces of this monster with the least Health remaining.
∞ Spot the closest hero.
∞ Attack a hero."

EFFECT_GOBLIN_ARCHER_2,"Apply +3 Speed to each monster."
GOBLIN_ARCHER_2_MINION_0,"∞ Spot the hero with the least Health remaining.
∞ Attack the hero within 3 spaces of this monster with the least Health remaining. Then retreat."
GOBLIN_ARCHER_2_MASTER_0,"∞ Spot the hero with the least Health remaining.
∞ Attack the hero within 3 spaces of this monster with the least Health remaining. Then retreat."

EFFECT_GOBLIN_ARCHER_3,"Each attack gains +3 Range. The master's attack ignores line of sight and gains +1 ≥ for each adjacent minion Goblin Archer."
GOBLIN_ARCHER_3_MINION_0,"∞ Engage the master Goblin Archer.
∞ Attack the closest hero.
∞ Engage the closest master monster."
GOBLIN_ARCHER_3_MASTER_0,"∞ Attack the closest hero.
∞ If this monster has performed an attack, perform a move action and retreat."

GOBLIN_WITCHER,"Goblin Witcher"
PLURAL_GOBLIN_WITCHER,"Goblin Witchers"
INSTRUCTION_GOBLIN_WITCHER,"Act I Goblin Witchers spend ± in the following order: \n±: Range (when necessary)\n±: Curse \n\nAct II Goblin Witchers spend ± in the following order: \n±: Range (when necessary)\n±: Curse\n±: +X ≥"

EFFECT_GOBLIN_WITCHER_1,"Each minion’s attack gains Blast.\n\n""Bewitch"" moves heroes 5 spaces instead of 2."
GOBLIN_WITCHER_1_MINION_0,"∞ Spot the hero within 5 spaces of this monster with the most heroes adjacent.
∞ Attack the hero within 3 spaces of this monster with the most heroes adjacent.
∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the lowest ∑."
GOBLIN_WITCHER_1_MASTER_0,"∞ Engage as many Cursed heroes as possible.
∞ Use ""Bewitch"" on each adjacent hero; move each affected hero toward the closest Pit or Hazard space to that hero.
∞ Attack the hero within 3 spaces of this monster with the highest ∑.
∞ Spot the closest hero."

EFFECT_GOBLIN_WITCHER_2,"Each hero adjacent to the master is immediately Cursed."
GOBLIN_WITCHER_2_MINION_0,"∞ Spot a hero within 5 spaces of this monster who is not Cursed.
∞ Attack the hero within 3 spaces of this monster who is not Cursed.
∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the lowest ∑."
GOBLIN_WITCHER_2_MASTER_0,"∞ Engage as many Cursed heroes as possible.
∞ Each adjacent Cursed hero switches places with the closest Melee monster to that hero (a different monster for each hero).
∞ Attack the hero within 3 spaces of this monster with the highest ∑.
∞ Spot the closest hero."

EFFECT_GOBLIN_WITCHER_3,"After this activation, each hero who is Cursed and adjacent to an elevation line moves 1 space across that elevation line and suffers 3 ≥."
GOBLIN_WITCHER_3_MINION_0,"∞ Spot a hero within 5 spaces of this monster who is not Cursed.
∞ Attack the hero within 3 spaces of this monster who is not Cursed.
∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the lowest ∑."
GOBLIN_WITCHER_3_MASTER_0,"∞ Engage as many Cursed heroes as possible.
∞ Use ""Bewitch"" on each adjacent hero; move each affected hero toward the closest elevation line to that hero.
∞ Attack the hero within 3 spaces of this monster with the highest ∑.
∞ Spot the closest hero."

GOLEM,"Golem"
PLURAL_GOLEM,"Golems"
INSTRUCTION_GOLEM,"Golems spend ± in the following order: \n ±: +X ≥"

EFFECT_GOLEM_1,"Each hero adjacent to a golem immediately tests ∂. Each hero who fails is Immobilized."
GOLEM_1_MINION_0,"∞ Engage a hero within 4 spaces of this monster who is not Immobilized.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the highest Speed."
GOLEM_1_MASTER_0,"∞ Engage a hero within 4 spaces of this monster who is not Immobilized.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the highest Speed."

EFFECT_GOLEM_2,"Each Golem immediately recovers 4 ≥."
GOLEM_2_MINION_0,"∞ Engage the hero within 3 spaces of this monster with the highest μ.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the highest μ."
GOLEM_2_MASTER_0,"∞ Engage the hero within 3 spaces of this monster with the highest μ.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the highest μ."

EFFECT_GOLEM_3,"The hero with the lowest ∑ tests ∑. If he fails, place that hero from the map and place him adjacent to as many golems as possible."
GOLEM_3_MINION_0,"∞ Engage the hero within 3 spaces of this monster with the lowest ∑.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the lowest ∑."
GOLEM_3_MASTER_0,"∞ Engage the hero within 3 spaces of this monster with the lowest ∑.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the lowest ∑."

HARPY,"Harpy"
PLURAL_HARPY,"Harpies"
INSTRUCTION_HARPY,"Harpies spend ± in the following order: \n ±: Swarm"

EFFECT_HARPY_1,"At the start of the master's activation, the hero with the most harpies adjacent tests ∂. If he fails, he is Weakened. If he passes, each adjacent Harpy moves 2 spaces away."
HARPY_1_MINION_0,"∞ Engage the hero within 6 spaces of this monster with the lowest ∂.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the lowest ∂."
HARPY_1_MASTER_0,"∞ Engage the hero within 6 spaces of this monster with the lowest ∂.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the lowest ∂."

EFFECT_HARPY_2,"The master Harpy immediately uses ""Flock."" Each affected minion Harpy moves toward the farthest hero."
HARPY_2_MINION_0,"∞ Engage the hero within 4 spaces of this monster with the most monsters adjacent.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the most Harpies adjacent."
HARPY_2_MASTER_0,"∞ Engage the farthest hero within 6 spaces.
∞ Engage the closest hero.
∞ Attack a hero."

EFFECT_HARPY_3,"After all minions have activated, each hero who is adjacent to a Harpy and has a Search card tests μ. Each hero who fails discards 1 Search card for each adjacent harpy."
HARPY_3_MINION_0,"∞ Engage as many heroes as possible within 6 spaces of this monster.
∞ Attack a hero.
∞ Engage the farthest hero."
HARPY_3_MASTER_0,"∞ Engage the hero within 6 spaces of this monster with the highest μ.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the most Health remaining."

HELLHOUND,"Hellhound"
PLURAL_HELLHOUND,"Hellhounds"
INSTRUCTION_HELLHOUND,"Master Hellhounds spend ± in the following order: \n±: Fire Breath (if at least 1 additional hero is affected) \n±: Pierce X (if the ≤ results are equal to or greater than X) \n±: Hunt. \n\nMinion hellhounds spend ± in the following order: \n±: Pierce X (if the ≤ results are equal to or greater than X) \n±: Hunt. \n\nFire Breath: When tracing the path for Fire Breath, include as many heroes as possible without tracing through monsters.\n\nHunt (if the master Hellhound is on the map): Place the hero adjacent to as many other heroes as possible.\n\nHunt (if the master is [u]not[/u] on the map): Place the hero as far as possible from the closest other hero."

EFFECT_HELLHOUND_1,"Each hero with 1 or more faceup Search cards immediately tests ∑. Each hero who fails places 1 hellhound adjacent to him."
HELLHOUND_1_MINION_0,"∞ Engage the hero within 3 spaces of this monster with the most faceup Search cards.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the most faceup Search cards. Then retreat.
∞ If adjacent to a hero, perform a move action and retreat."
HELLHOUND_1_MASTER_0,"∞ Engage the hero within 3 spaces of this monster with the most faceup Search cards.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the most faceup Search cards. Then retreat.
∞ If adjacent to a hero, perform a move action and retreat."

EFFECT_HELLHOUND_2,"Each hero immediately tests π and adds ≤ equal to the number of Shop Item cards he has. Each hero who fails places his figure adjacent to the master hellhound; if he cannot, he suffers 3 ≥."
HELLHOUND_2_MINION_0,"∞ Engage the hero within 3 spaces of this monster with the highest cost Shop Item card.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the highest cost Shop Item card. Then retreat.
∞ If adjacent to a hero, perform a move action and retreat."
HELLHOUND_2_MASTER_0,"∞ Engage the hero within 3 spaces of this monster with the highest cost Shop Item card.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the highest cost Shop Item card. Then retreat.
∞ If adjacent to a hero, perform a move action and retreat."

EFFECT_HELLHOUND_3,"Each hero who suffers ≥ during an attack suffers additional ≥ equal to the number of Shop Item cards he has equipped."
HELLHOUND_3_MINION_0,"∞ Engage the hero within 6 spaces of this monster with the most Health remaining.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the most Health remaining. Then retreat."
HELLHOUND_3_MASTER_0,"∞ Engage the hero within 6 spaces of this monster with the most Health remaining.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the most Health remaining. Then retreat."

EFFECT_HELLHOUND_4,"Each hero who suffers ≥ from an attack is Burning."
HELLHOUND_4_MINION_0,"∞ Engage a hero within 5 spaces who is not Burning.
∞ Engage the closest hero.
∞ Attack an adjacent hero who is not Burning. Then retreat.
∞ Attack an adjacent hero. Then retreat."
HELLHOUND_4_MASTER_0,"∞ Engage a hero within 5 spaces who is not Burning.
∞ Engage the closest hero.
∞ Attack an adjacent hero who is not Burning. Then retreat.
∞ Attack an adjacent hero. Then retreat."

HYBRID_SENTINEL,"Hybrid Sentinel"
PLURAL_HYBRID_SENTINEL,"Hybrid Sentinels"
INSTRUCTION_HYBRID_SENTINEL,"Master hybrid sentinels spend ± in the following order: \n±: Fire Breath (if at least 1 additional hero is affected)\n±: +X ≥ \n\nFire Breath: When tracing the path for Fire Breath, include as many heroes as possible without tracing through monsters."

EFFECT_HYBRID_SENTINEL_1,"After this activation, each Hybrid Sentinel moves 3 spaces toward the hero with the lowest ∂."
HYBRID_SENTINEL_1_MINION_0,"∞ Engage the hero within 3 spaces of this monster with the lowest ∂.
∞ Attack the adjacent hero with the lowest ∂.
∞ Engage the closest hero.
∞ Attack a hero."
HYBRID_SENTINEL_1_MASTER_0,"∞ Engage the hero within 3 spaces of this monster with the lowest ∂.
∞ Attack the adjacent hero with the lowest ∂.
∞ Engage the closest hero.
∞ Attack a hero."

EFFECT_HYBRID_SENTINEL_2,"Fire Breath traces a path of 6 spaces instead of 4."
HYBRID_SENTINEL_2_MINION_0,"∞ Engage the closest hero.
∞ Attack a hero."
HYBRID_SENTINEL_2_MASTER_0,"∞ Engage the closest hero.
∞ Attack a hero."

EFFECT_HYBRID_SENTINEL_3,"Apply -2 ∂ to each hero during attacks (to a minimum of 1)."
HYBRID_SENTINEL_3_MINION_0,"∞ Engage the hero with the lowest ∂.
∞ Attack the adjacent hero with the lowest ∂."
HYBRID_SENTINEL_3_MASTER_0,"∞ Engage the hero with the lowest ∂.
∞ Attack the adjacent hero with the lowest ∂."

ICE_WYRM,"Ice Wyrm"
ICE_WYRM_PLURAL,"Ice Wyrms"
INSTRUCTION_ICE_WYRM,"Entomb: If an Ice Wyrm is within 1 space of a hero token, it must end its movement so that its figure is still adjacent to that hero token."

EFFECT_ICE_WYRM_1,"Each hero who suffers ≥ during an attack is Immobilized."
ICE_WYRM_1_MINION_0,"∞ Attack the hero within 2 spaces of this monster with the most Health remaining.
∞ If this monster has performed an attack during this activation, it moves 2 spaces away from the closest hero.
∞ Engage the closest hero."
ICE_WYRM_1_MASTER_0,"∞ Attack the hero within 2 spaces of this monster with the highest Speed.
∞ If this monster has performed an attack during this activation, it moves 2 spaces away from the closest hero.
∞ Engage the closest hero."

EFFECT_ICE_WYRM_2,"Each hero adjacent to an Ice Wyrm immediately tests π or ∂. Each hero who fails must choose to either suffer ∏ up to his Stamina or 5 ≥."
ICE_WYRM_2_MINION_0,"∞ Attack the hero within 2 spaces of this monster with the least ≥ suffered.
∞ If adjacent to a hero, move 2 spaces away from that hero.
∞ Engage the closest hero."
ICE_WYRM_2_MASTER_0,"∞ Attack the hero within 2 spaces of this monster with the most ≥ suffered.
∞ If adjacent to a hero, move 2 spaces away from that hero.
∞ Engage the hero with the most ≥ suffered."

EFFECT_ICE_WYRM_3,"After each Ice Wyrm's attack, each hero within 1 space of the target tests ∂ or μ. Each hero who fails must choose to either suffer 2 ∏ or is Immobilized."
ICE_WYRM_3_MINION_0,"∞ Attack the hero within 2 spaces of this monster with the most heroes adjacent.
∞ If this monster has performed an attack during this activation, it moves 2 spaces away from the closest hero.
∞ Engage the closest hero."
ICE_WYRM_3_MASTER_0,"∞ Attack the hero within 2 spaces of this monster with the most heroes adjacent.
∞ If this monster has performed an attack during this activation, it moves 2 spaces away from the closest hero.
∞ Engage the closest hero."

IRONBOUND,"Ironbound"
PLURAL_IRONBOUND,"Ironbound"
INSTRUCTION_IRONBOUND,"Master Iron Bound spend ± in the following order: \n ±: +X ≥ \n\nProtect: Ironbound always use the effect of ""Protect"" on behalf of adjacent monsters, unless suffering the 1 ≥ would defeat the ironbound. When Ironbound are instructed to engage a monster, they do not engage monsters that also have ""Protect."""


EFFECT_IRONBOUND_1,"Apply +2 Speed to each monster."
IRONBOUND_1_MINION_0,"∞ Attack the hero within 2 spaces of this monster with the highest Speed.
∞ If this monster has attacked, engage the monster within 5 spaces of this monster with the most ≥ suffered.
∞ Engage the closest hero."
IRONBOUND_1_MASTER_0,"∞ Attack the hero within 2 spaces of this monster with the highest Speed.
∞ If this monster has attacked, engage the monster within 5 spaces of this monster with the most ≥ suffered.
∞ Engage the closest hero."

EFFECT_IRONBOUND_2,"When attacking, Ironbound can target spaces within 3 spaces instead of 2."
IRONBOUND_2_MINION_0,"∞ Attack the hero within 3 spaces of this monster with the highest ∑.
∞ If this monster has attacked, engage the monster within 3 spaces of this monster with the most ≥ suffered.
∞ Engage the closest hero."
IRONBOUND_2_MASTER_0,"∞ Attack the hero within 3 spaces of this monster with the highest ∑.
∞ If this monster has attacked, engage the monster within 3 spaces of this monster with the most ≥ suffered.
∞ Engage the closest hero."

EFFECT_IRONBOUND_3,"Each ironbound immediately recovers 4 ≥."
IRONBOUND_3_MINION_0,"∞ Attack the hero within 2 spaces of this monster with the highest ∂.
∞ If this monster has attacked, engage the monster within 3 spaces of this monster with the most ≥ suffered.
∞ Engage the closest hero."
IRONBOUND_3_MASTER_0,"∞ Attack the hero within 2 spaces of this monster with the highest ∂.
∞ If this monster has attacked, engage the monster within 3 spaces of this monster with the most ≥ suffered.
∞ Engage the closest hero."

KOBOLD,"Kobold"
PLURAL_KOBOLD,"Kobolds"
INSTRUCTION_KOBOLD,"Kobolds spend ± in the following order: \n ±: Swarm \n\nSpawner: Because there is no overlord turn, ""Spawner"" places minions at the start of the Kobolds' activation instead. Place the minion Kobold in an adjacent space that is the closest to the closest hero.\n\nSmall Beginnings: Minions are not placed when setting up a new area of the map. However, if a group is placed outside of setup (such as at the end of a round or after interacting with an element on the map) place the minions."
